Unloaded module: latex/TeXLive12
Loaded module: python3/3.6.2
c1=-10, c2=-30, d=-30, lambda=0.001

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-30, d=-30, lambda=0.01

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-30, d=-30, lambda=0.1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-30, d=-30, lambda=1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-30, d=-30, lambda=10

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-30, d=-25, lambda=0.001

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-30, d=-25, lambda=0.01

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-30, d=-25, lambda=0.1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-30, d=-25, lambda=1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-30, d=-25, lambda=10

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-30, d=-20, lambda=0.001

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-30, d=-20, lambda=0.01

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-30, d=-20, lambda=0.1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-30, d=-20, lambda=1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-30, d=-20, lambda=10

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-30, d=-15, lambda=0.001

Train: 0.7661138771303023 Validation: 0.7424498187920576

c1=-10, c2=-30, d=-15, lambda=0.01

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-30, d=-15, lambda=0.1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-30, d=-15, lambda=1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-30, d=-15, lambda=10

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-30, d=-10, lambda=0.001

Train: 0.7661138753544534 Validation: 0.7424498169717867

c1=-10, c2=-30, d=-10, lambda=0.01

Train: 0.7661138769527174 Validation: 0.7424498186100305

c1=-10, c2=-30, d=-10, lambda=0.1

Train: 0.7661138771125438 Validation: 0.7424498187738549

c1=-10, c2=-30, d=-10, lambda=1

Train: 0.7661138771285264 Validation: 0.7424498187902373

c1=-10, c2=-30, d=-10, lambda=10

